ID,STUDY_YEAR,VISITAGE,SEX_1,SEX,SPAYED/NUTER Y/N,CALENDARYEAR,BODYFAT,BCS,PBCS,WEIGHT_KG,DIET_CLASS,RAWCOOK,PCT_HOMEMADE,HOW_STORE,HOW_STORE_O,ORIGINAL CONTAINER Y/N,WHERE_STORE,CLIMATE CONTROL Y/N,BRAND,BRAND/COMPANY (CLEANED),PARENT COMPANY,PERSCRIPTION Y/N,OTC THERAPEUTIC,DOG FOOD (COMMERCIAL OR HOMEMADE) Y/N,COMMERCIAL DOG TREAT Y/N,COMMERCIAL SUPPLEMENT ADDITION Y/N,FEEDFORM,FEEDTYPE,PROCESS CATEGORY,PROCESS SUBTYPE,PCTDIET,FEEDFREQ,FEEDAMT,FEEDAMTUNIT,GACPROT,GACFAT,GACFIBER,GACMOIST,FEEDLONG,FEEDLONGUNIT,FEEDAGE,FEEDAGEUNIT,STLLUSE,STARTDT,ENDDT
grls4RG88OII,6,7.4,Male Intact,Male,N,2020,NA,NA,5,28.5764,Both,Raw,50,Original Container,,Y,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Chicken & rice,Dry,Ultra Processed,CUP-D,NA,2-4 per week,1,Cup(s),26,15,4,10,NA,NA,NA,NA,Yes,2019-6-00,NA
grls4RG88OII,7,8.4,Male Intact,Male,N,2021,NA,NA,5,28.1228,Commercial Dog Food,,NA,Original Container,,Y,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,chicken & rice,Dry,Ultra Processed,CUP-D,NA,2-4 per week,1,Cup(s),26,15,4,10,NA,NA,NA,NA,Yes,2020-1-00,NA
grlsYJ8THUTT,7,7.6,Female Spayed,Female,Y,2021,NA,NA,5,37.1946,Commercial Dog Food,,NA,Original Container,,Y,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,salmon and potato,Dry,Ultra Processed,CUP-D,NA,1 per day,2,Cup(s),25,14,3,10,NA,NA,NA,NA,Yes,2021-7-00,NA
grlsWPC63PJJ,8,10,Female Spayed,Female,Y,2022,NA,NA,6,47.6273,Commercial Dog Food,,NA,Other,Lined metal bucket,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Salmon and Potato,Dry,Ultra Processed,CUP-D,NA,2 per day,6,Oz,25,14,3,10,NA,NA,NA,NA,Yes,2021-8-00,NA
grls4N0D24CC,8,10.2,Female Spayed,Female,Y,2021,NA,NA,5,24.9476,Commercial Dog Food,,NA,Plastic Container,,N,Garage,N,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,Y,Y,N,N,sensitive Stomach,Dry,Ultra Processed,CUP-D,NA,2 per day,6,Oz,25,13,3,10,NA,NA,NA,NA,Yes,2021-10-00,NA
grlsDP2KHHRR,7,8.2,Male Intact,Male,N,2022,NA,NA,7,39.2811,Commercial Dog Food,,NA,Plastic Container,,N,Garage,N,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Chicken and Rice,Dry,Ultra Processed,CUP-D,NA,2 per day,2,Cup(s),26,15,4,10,NA,NA,NA,NA,Yes,2022-2-00,NA
grlsVC3HXNMM,7,9,Female Spayed,Female,Y,2021,NA,NA,6,33.5659,Commercial Dog Food,,NA,Plastic Container,,N,Garage,N,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Large Breed,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),24,12,4,10,NA,NA,NA,NA,Yes,2021-1-00,NA
grls5URG9JGG,7,9,Male Neutered,Male,Y,2021,NA,NA,5,34.9267,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,lamb & rice,Dry,Ultra Processed,CUP-D,NA,2 per day,2,Cup(s),20,10,4.5,10,NA,NA,NA,NA,Yes,2019-6-00,NA
grls5URG9JGG,8,10.1,Male Neutered,Male,Y,2022,NA,NA,5,34.0195,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Mature Adult Formula,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),20,10,4.5,10,NA,NA,NA,NA,Yes,2020-3-00,NA
grls8O0B18OO,6,6.6,Male Neutered,Male,Y,2020,NA,NA,6,36.2874,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Large Breed Formula,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),24,12,4,10,NA,NA,NA,NA,Yes,2020-2-00,NA
grls8O0B18OO,7,7.6,Male Neutered,Male,Y,2021,NA,NA,5,33.3844,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Large Breed Formula,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),24,12,4,10,NA,NA,NA,NA,No,2020-2-00,2021-2-00
grls9HPESP00,6,7.3,Female Intact,Female,N,2021,NA,NA,6,35.7431,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Chicken and Rice,Dry,Ultra Processed,CUP-D,NA,2 per day,2,Cup(s),26,15,4,10,NA,NA,NA,NA,Yes,2020-6-00,NA
grls9HPESP00,7,8.2,Female Intact,Female,N,2022,NA,NA,7,30.7536,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Chicken and rice,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),26,15,4,10,NA,NA,NA,NA,Yes,2021-6-00,NA
grlsASIGJBXX,6,8,Female Spayed,Female,Y,2020,NA,NA,5,24.8115,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Salmon & Potato,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),25,14,3,10,NA,NA,NA,NA,Yes,2020-7-00,NA
grlsASIGJBXX,7,9,Female Spayed,Female,Y,2021,NA,NA,5,26.8527,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Large Breed Formula,Dry,Ultra Processed,CUP-D,NA,2 per day,1,Cup(s),24,12,4,10,NA,NA,NA,NA,Yes,2021-6-00,NA
grlsDP2KHHRR,6,7.3,Male Intact,Male,N,2021,NA,NA,5,29.9825,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,chicken and Rice,Dry,Ultra Processed,CUP-D,NA,2 per day,2,Cup(s),26,15,4,10,NA,NA,NA,NA,Yes,2020-6-00,NA
grlsHHXWQ5DD,6,6.9,Male Neutered,Male,Y,2020,NA,NA,NA,40.0069,Commercial Dog Food,,NA,Plastic Container,,N,Indoors-room temperature,Y,4 Health,4 Health (Tractor Supply),Schell & Kampeter Diamond Pet Foods,N,N,Y,N,N,Lamb,Dry,Ultra Processed,CUP-D,NA,2 per day,2,Cup(s),21,12,4,10,NA,NA,NA,NA,Yes,2019-7-00,NA
