"ID","STUDY_YEAR","diagnosis_date","tracked_condition","phenotype","status","tier_of_confidence","is_cause_of_death","is_recurrence","is_adjudicated"
"grls00NB23WW",3,2017-09-12,"Bloat with torsion","","final",1,1,0,1
"grls01C2L8RR",7,2022-05-08,"Hemangiosarcoma - other/not specified","","final",1,1,0,1
"grls020IW1ZZ",6,2021-12-24,"Brain tumor","","presumptive",3,1,0,0
"grls02VDCV99",2,2015-07-22,"Mast cell tumor - cutaneous","2_low","final",1,0,0,1
"grls02VDCV99",9,2022-04-02,"Hemangiosarcoma - cardiac","","final",1,1,0,1
"grls03MTKHLL",7,2021-05-20,"Histiocytic sarcoma","","final",1,1,0,1
"grls04KX35EE",7,2020-06-28,"Hemangiosarcoma - cardiac","","definitive",1,1,0,0
"grls0CSZ8WSS",9,2022-01-17,"Hemangiosarcoma - splenic","","final",1,1,0,1
"grls0ENG5Y66",7,2020-08-12,"Adenocarcinoma - apocrine gland anal sac","","definitive",1,1,0,0
"grls0EZB9OCC",8,2020-11-19,"Hemangiosarcoma - splenic","","definitive",1,1,0,0
"grls0F3UPZPP",6,2021-07-25,"Hemangiosarcoma - splenic","","final",1,1,0,1
"grls0HAV8G99",7,2021-12-27,"Sarcoma","","definitive",2,1,0,1
"grls0LSLKO",8,2022-06-13,"Mast cell tumor - cutaneous","2_low","definitive",1,0,0,0
"grls0LUXUMTT",9,2022-04-08,"Unknown","","presumptive",3,1,0,0
"grls0MWS6OMM",8,2022-04-25,"Lymphoma - multicentric","diffuse_large_b_cell","final",1,1,0,1
"grls0OENGRDD",6,2020-07-16,"Histiocytic sarcoma","","definitive",1,1,0,0
"grls0PXYZ6BB",8,2022-08-22,"Gastrointestinal stromal tumor","","final",1,0,0,1
"grls0R37Y2WW",8,2022-05-14,"Pericardial effusion","","presumptive",2,1,0,0
"grls0SITE9YY",7,2021-02-18,"Histiocytic sarcoma","","definitive",1,0,0,1
"grls0U11TOTT",6,2021-04-22,"Soft tissue sarcoma - fibrosarcoma","low","final",1,0,0,1
"grls0V9DN9FF",7,2022-01-28,"Brain tumor","","definitive",2,1,0,0
"grls0WMXEHYY",8,2021-11-11,"Round cell tumor","","presumptive",1,1,0,0
"grls0YYYJPBB",7,2021-12-07,"Hemangiosarcoma - splenic","","final",1,1,0,1
